2026-06-22 15:15:10.540 INFO  [main] c.p.mcp.InfinityRulesMcpApplication - Starting InfinityRulesMcpApplication v0.6.26 using Java 17.0.14 with PID 117008 (/home/limj1/projects/ai-authoring-plugins/resources/infinity-rules-mcp.jar started by limj1 in /home/limj1/projects/ai-authoring-plugins/plugins/pega/infinity-ai-plugins/codex)
2026-06-22 15:15:10.543 INFO  [main] c.p.mcp.InfinityRulesMcpApplication - The following 1 profile is active: "stdio"
2026-06-22 15:15:11.007 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-06-22 15:15:11.009 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'serverAnnotatedBeanRegistry' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration$ServerMcpAnnotatedBeans] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-06-22 15:15:11.015 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.ai.mcp.server.annotation-scanner-org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerProperties' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-06-22 15:15:11.053 INFO  [main] c.p.mcp.tools.validate.SchemaLoader - Loading JSON schemas from skills directory: /tmp/opencode/ai-authoring-plugins-cache-simple/pega-agent-plugins/infinity-rules-mcp/codex-plugin/pega-skills
2026-06-22 15:15:11.104 WARN  [main] c.n.s.keyword.UnknownKeywordFactory - Unknown keyword x-pega-autoFill - you should define your own Meta Schema. If the keyword is irrelevant for validation, just use a NonValidationKeyword or if it should generate annotations AnnotationKeyword
2026-06-22 15:15:11.115 WARN  [main] c.n.s.keyword.UnknownKeywordFactory - Unknown keyword x-pega-condition - you should define your own Meta Schema. If the keyword is irrelevant for validation, just use a NonValidationKeyword or if it should generate annotations AnnotationKeyword
2026-06-22 15:15:11.125 WARN  [main] c.n.s.keyword.UnknownKeywordFactory - Unknown keyword x-pega-autoDerived - you should define your own Meta Schema. If the keyword is irrelevant for validation, just use a NonValidationKeyword or if it should generate annotations AnnotationKeyword
2026-06-22 15:15:11.126 WARN  [main] c.n.s.keyword.UnknownKeywordFactory - Unknown keyword x-pega-validation - you should define your own Meta Schema. If the keyword is irrelevant for validation, just use a NonValidationKeyword or if it should generate annotations AnnotationKeyword
2026-06-22 15:15:11.150 WARN  [main] c.n.s.keyword.UnknownKeywordFactory - Unknown keyword x-pega-hints - you should define your own Meta Schema. If the keyword is irrelevant for validation, just use a NonValidationKeyword or if it should generate annotations AnnotationKeyword
